TOP.60cc038f.0001ac0e	START
TOP.60cc085d.0006b747	SUB.60cc088b.0002f2e7	status-after-work	6
TOP.60cc085d.0006b747	SUB.60cc088b.0002f2e7	STOP
TOP.60cc085d.0006b747	proc_start	1623984221
TOP.60cc085d.0006b747	proc_stop	1623984273
TOP.60cc085d.0006b747	STOP
TOP.60cc0955.000d4532	START
TOP.60cc0955.000d4532	folder_config->cwd	C:\Users\juan2\Documents\tarea 3\hashcat-6.2.2
TOP.60cc0955.000d4532	folder_config->install_dir	.
TOP.60cc0955.000d4532	folder_config->profile_dir	.
TOP.60cc0955.000d4532	folder_config->session_dir	.
TOP.60cc0955.000d4532	folder_config->shared_dir	.
TOP.60cc0955.000d4532	user_options->separator	:
TOP.60cc0955.000d4532	user_options->encoding_from	utf-8
TOP.60cc0955.000d4532	user_options->encoding_to	utf-8
TOP.60cc0955.000d4532	user_options->rp_files[0]	rules/best64.rule
TOP.60cc0955.000d4532	user_options->rule_buf_l	:
TOP.60cc0955.000d4532	user_options->rule_buf_r	:
TOP.60cc0955.000d4532	user_options->session	hashcat
TOP.60cc0955.000d4532	user_options->limit	0
TOP.60cc0955.000d4532	user_options->skip	0
TOP.60cc0955.000d4532	user_options->attack_mode	0
TOP.60cc0955.000d4532	user_options->benchmark	0
TOP.60cc0955.000d4532	user_options->benchmark_all	0
TOP.60cc0955.000d4532	user_options->bitmap_max	18
TOP.60cc0955.000d4532	user_options->bitmap_min	16
TOP.60cc0955.000d4532	user_options->debug_mode	0
TOP.60cc0955.000d4532	user_options->hash_info	0
TOP.60cc0955.000d4532	user_options->force	0
TOP.60cc0955.000d4532	user_options->hwmon_disable	0
TOP.60cc0955.000d4532	user_options->hwmon_temp_abort	90
TOP.60cc0955.000d4532	user_options->hash_mode	10
TOP.60cc0955.000d4532	user_options->hex_charset	0
TOP.60cc0955.000d4532	user_options->hex_salt	0
TOP.60cc0955.000d4532	user_options->hex_wordlist	0
TOP.60cc0955.000d4532	user_options->hook_threads	2
TOP.60cc0955.000d4532	user_options->identify	0
TOP.60cc0955.000d4532	user_options->increment	0
TOP.60cc0955.000d4532	user_options->increment_max	256
TOP.60cc0955.000d4532	user_options->increment_min	1
TOP.60cc0955.000d4532	user_options->keep_guessing	0
TOP.60cc0955.000d4532	user_options->kernel_accel	0
TOP.60cc0955.000d4532	user_options->kernel_loops	0
TOP.60cc0955.000d4532	user_options->kernel_threads	0
TOP.60cc0955.000d4532	user_options->keyspace	0
TOP.60cc0955.000d4532	user_options->left	0
TOP.60cc0955.000d4532	user_options->logfile_disable	0
TOP.60cc0955.000d4532	user_options->loopback	0
TOP.60cc0955.000d4532	user_options->machine_readable	0
TOP.60cc0955.000d4532	user_options->markov_classic	0
TOP.60cc0955.000d4532	user_options->markov_disable	0
TOP.60cc0955.000d4532	user_options->markov_threshold	256
TOP.60cc0955.000d4532	user_options->backend_info	0
TOP.60cc0955.000d4532	user_options->backend_vector_width	0
TOP.60cc0955.000d4532	user_options->optimized_kernel_enable	1
TOP.60cc0955.000d4532	user_options->outfile_autohex	1
TOP.60cc0955.000d4532	user_options->outfile_check_timer	5
TOP.60cc0955.000d4532	user_options->outfile_format	3
TOP.60cc0955.000d4532	user_options->wordlist_autohex_disable	0
TOP.60cc0955.000d4532	user_options->potfile_disable	0
TOP.60cc0955.000d4532	user_options->progress_only	0
TOP.60cc0955.000d4532	user_options->quiet	0
TOP.60cc0955.000d4532	user_options->remove	0
TOP.60cc0955.000d4532	user_options->remove_timer	60
TOP.60cc0955.000d4532	user_options->restore	0
TOP.60cc0955.000d4532	user_options->restore_disable	0
TOP.60cc0955.000d4532	user_options->restore_timer	60
TOP.60cc0955.000d4532	user_options->rp_files_cnt	1
TOP.60cc0955.000d4532	user_options->rp_gen	0
TOP.60cc0955.000d4532	user_options->rp_gen_func_max	4
TOP.60cc0955.000d4532	user_options->rp_gen_func_min	1
TOP.60cc0955.000d4532	user_options->rp_gen_seed	0
TOP.60cc0955.000d4532	user_options->runtime	0
TOP.60cc0955.000d4532	user_options->scrypt_tmto	0
TOP.60cc0955.000d4532	user_options->segment_size	33554432
TOP.60cc0955.000d4532	user_options->self_test_disable	0
TOP.60cc0955.000d4532	user_options->slow_candidates	0
TOP.60cc0955.000d4532	user_options->show	0
TOP.60cc0955.000d4532	user_options->speed_only	0
TOP.60cc0955.000d4532	user_options->spin_damp	0
TOP.60cc0955.000d4532	user_options->status	0
TOP.60cc0955.000d4532	user_options->status_json	0
TOP.60cc0955.000d4532	user_options->status_timer	10
TOP.60cc0955.000d4532	user_options->stdout_flag	0
TOP.60cc0955.000d4532	user_options->usage	0
TOP.60cc0955.000d4532	user_options->username	0
TOP.60cc0955.000d4532	user_options->veracrypt_pim_start	485
TOP.60cc0955.000d4532	user_options->veracrypt_pim_stop	485
TOP.60cc0955.000d4532	user_options->version	0
TOP.60cc0955.000d4532	user_options->workload_profile	4
TOP.60cc0955.000d4532	user_options->brain_client	0
TOP.60cc0955.000d4532	user_options->brain_client_features	2
TOP.60cc0955.000d4532	user_options->brain_server	0
TOP.60cc0955.000d4532	user_options->brain_server_timer	300
TOP.60cc0955.000d4532	user_options->brain_port	6863
TOP.60cc0955.000d4532	user_options->brain_session	0
TOP.60cc0955.000d4532	hashes->hashfile	Preguntas1/archivo_3
TOP.60cc0955.000d4532	hashes->hashlist_mode	5
TOP.60cc0955.000d4532	hashes->hashlist_format	0
TOP.60cc0955.000d4532	hashes->hashes_cnt	0
TOP.60cc0955.000d4532	hashes->digests_cnt	1000
TOP.60cc0955.000d4532	hashes->digests_done	0
TOP.60cc0955.000d4532	hashes->salts_cnt	1000
TOP.60cc0955.000d4532	hashes->salts_done	0
TOP.60cc0955.000d4532	SUB.60cc0956.00042075	START
TOP.60cc0955.000d4532	SUB.60cc0956.00042075	straight_ctx->dict	diccionarios/diccionario_2.dict
TOP.60cc0955.000d4532	SUB.60cc0956.00042075	rulefile	rules/best64.rule
TOP.60cc0955.000d4532	SUB.60cc0956.00042075	runtime_start	1623984470
TOP.60cc0955.000d4532	SUB.60cc0956.00042075	runtime_stop	1623984515
TOP.60cc0955.000d4532	SUB.60cc0956.00042075	status-after-work	6
TOP.60cc0955.000d4532	SUB.60cc0956.00042075	STOP
TOP.60cc0955.000d4532	proc_start	1623984469
TOP.60cc0955.000d4532	proc_stop	1623984516
TOP.60cc0955.000d4532	STOP
TOP.60cc0b6c.00062dff	START
TOP.60cc0b6c.00062dff	folder_config->cwd	C:\Users\juan2\Documents\tarea 3\hashcat-6.2.2
TOP.60cc0b6c.00062dff	folder_config->install_dir	.
TOP.60cc0b6c.00062dff	folder_config->profile_dir	.
TOP.60cc0b6c.00062dff	folder_config->session_dir	.
TOP.60cc0b6c.00062dff	folder_config->shared_dir	.
TOP.60cc0b6c.00062dff	user_options->separator	:
TOP.60cc0b6c.00062dff	user_options->encoding_from	utf-8
TOP.60cc0b6c.00062dff	user_options->encoding_to	utf-8
TOP.60cc0b6c.00062dff	user_options->rp_files[0]	rules/best64.rule
TOP.60cc0b6c.00062dff	user_options->rule_buf_l	:
TOP.60cc0b6c.00062dff	user_options->rule_buf_r	:
TOP.60cc0b6c.00062dff	user_options->session	hashcat
TOP.60cc0b6c.00062dff	user_options->limit	0
TOP.60cc0b6c.00062dff	user_options->skip	0
TOP.60cc0b6c.00062dff	user_options->attack_mode	0
TOP.60cc0b6c.00062dff	user_options->benchmark	0
TOP.60cc0b6c.00062dff	user_options->benchmark_all	0
TOP.60cc0b6c.00062dff	user_options->bitmap_max	18
TOP.60cc0b6c.00062dff	user_options->bitmap_min	16
TOP.60cc0b6c.00062dff	user_options->debug_mode	0
TOP.60cc0b6c.00062dff	user_options->hash_info	0
TOP.60cc0b6c.00062dff	user_options->force	0
TOP.60cc0b6c.00062dff	user_options->hwmon_disable	0
TOP.60cc0b6c.00062dff	user_options->hwmon_temp_abort	90
TOP.60cc0b6c.00062dff	user_options->hash_mode	0
TOP.60cc0b6c.00062dff	user_options->hex_charset	0
TOP.60cc0b6c.00062dff	user_options->hex_salt	0
TOP.60cc0b6c.00062dff	user_options->hex_wordlist	0
TOP.60cc0b6c.00062dff	user_options->hook_threads	2
TOP.60cc0b6c.00062dff	user_options->identify	0
TOP.60cc0b6c.00062dff	user_options->increment	0
TOP.60cc0b6c.00062dff	user_options->increment_max	256
TOP.60cc0b6c.00062dff	user_options->increment_min	1
TOP.60cc0b6c.00062dff	user_options->keep_guessing	0
TOP.60cc0b6c.00062dff	user_options->kernel_accel	0
TOP.60cc0b6c.00062dff	user_options->kernel_loops	0
TOP.60cc0b6c.00062dff	user_options->kernel_threads	0
TOP.60cc0b6c.00062dff	user_options->keyspace	0
TOP.60cc0b6c.00062dff	user_options->left	0
TOP.60cc0b6c.00062dff	user_options->logfile_disable	0
TOP.60cc0b6c.00062dff	user_options->loopback	0
TOP.60cc0b6c.00062dff	user_options->machine_readable	0
TOP.60cc0b6c.00062dff	user_options->markov_classic	0
TOP.60cc0b6c.00062dff	user_options->markov_disable	0
TOP.60cc0b6c.00062dff	user_options->markov_threshold	256
TOP.60cc0b6c.00062dff	user_options->backend_info	0
TOP.60cc0b6c.00062dff	user_options->backend_vector_width	0
TOP.60cc0b6c.00062dff	user_options->optimized_kernel_enable	1
TOP.60cc0b6c.00062dff	user_options->outfile_autohex	1
TOP.60cc0b6c.00062dff	user_options->outfile_check_timer	5
TOP.60cc0b6c.00062dff	user_options->outfile_format	3
TOP.60cc0b6c.00062dff	user_options->wordlist_autohex_disable	0
TOP.60cc0b6c.00062dff	user_options->potfile_disable	0
TOP.60cc0b6c.00062dff	user_options->progress_only	0
TOP.60cc0b6c.00062dff	user_options->quiet	0
TOP.60cc0b6c.00062dff	user_options->remove	0
TOP.60cc0b6c.00062dff	user_options->remove_timer	60
TOP.60cc0b6c.00062dff	user_options->restore	0
TOP.60cc0b6c.00062dff	user_options->restore_disable	0
TOP.60cc0b6c.00062dff	user_options->restore_timer	60
TOP.60cc0b6c.00062dff	user_options->rp_files_cnt	1
TOP.60cc0b6c.00062dff	user_options->rp_gen	0
TOP.60cc0b6c.00062dff	user_options->rp_gen_func_max	4
TOP.60cc0b6c.00062dff	user_options->rp_gen_func_min	1
TOP.60cc0b6c.00062dff	user_options->rp_gen_seed	0
TOP.60cc0b6c.00062dff	user_options->runtime	0
TOP.60cc0b6c.00062dff	user_options->scrypt_tmto	0
TOP.60cc0b6c.00062dff	user_options->segment_size	33554432
TOP.60cc0b6c.00062dff	user_options->self_test_disable	0
TOP.60cc0b6c.00062dff	user_options->slow_candidates	0
TOP.60cc0b6c.00062dff	user_options->show	0
TOP.60cc0b6c.00062dff	user_options->speed_only	0
TOP.60cc0b6c.00062dff	user_options->spin_damp	0
TOP.60cc0b6c.00062dff	user_options->status	0
TOP.60cc0b6c.00062dff	user_options->status_json	0
TOP.60cc0b6c.00062dff	user_options->status_timer	10
TOP.60cc0b6c.00062dff	user_options->stdout_flag	0
TOP.60cc0b6c.00062dff	user_options->usage	0
TOP.60cc0b6c.00062dff	user_options->username	0
TOP.60cc0b6c.00062dff	user_options->veracrypt_pim_start	485
TOP.60cc0b6c.00062dff	user_options->veracrypt_pim_stop	485
TOP.60cc0b6c.00062dff	user_options->version	0
TOP.60cc0b6c.00062dff	user_options->workload_profile	4
TOP.60cc0b6c.00062dff	user_options->brain_client	0
TOP.60cc0b6c.00062dff	user_options->brain_client_features	2
TOP.60cc0b6c.00062dff	user_options->brain_server	0
TOP.60cc0b6c.00062dff	user_options->brain_server_timer	300
TOP.60cc0b6c.00062dff	user_options->brain_port	6863
TOP.60cc0b6c.00062dff	user_options->brain_session	0
TOP.60cc0b6c.00062dff	hashes->hashfile	Preguntas1/archivo_4
TOP.60cc0b6c.00062dff	hashes->hashlist_mode	5
TOP.60cc0b6c.00062dff	hashes->hashlist_format	0
TOP.60cc0b6c.00062dff	hashes->hashes_cnt	0
TOP.60cc0b6c.00062dff	hashes->digests_cnt	1000
TOP.60cc0b6c.00062dff	hashes->digests_done	0
TOP.60cc0b6c.00062dff	hashes->salts_cnt	1
TOP.60cc0b6c.00062dff	hashes->salts_done	0
TOP.60cc0b6c.00062dff	SUB.60cc0b6c.000be21b	START
TOP.60cc0b6c.00062dff	SUB.60cc0b6c.000be21b	straight_ctx->dict	diccionarios/diccionario_2.dict
TOP.60cc0b6c.00062dff	SUB.60cc0b6c.000be21b	rulefile	rules/best64.rule
TOP.60cc0b6c.00062dff	SUB.60cc0b6c.000be21b	runtime_start	1623985005
TOP.60cc0b6c.00062dff	SUB.60cc0b6c.000be21b	runtime_stop	1623985005
TOP.60cc0b6c.00062dff	SUB.60cc0b6c.000be21b	status-after-work	5
TOP.60cc0b6c.00062dff	SUB.60cc0b6c.000be21b	STOP
TOP.60cc0b6c.00062dff	proc_start	1623985004
TOP.60cc0b6c.00062dff	proc_stop	1623985005
TOP.60cc0b6c.00062dff	STOP
TOP.60cc0da5.000831fb	START
TOP.60cc0da5.000831fb	folder_config->cwd	C:\Users\juan2\Documents\tarea 3\hashcat-6.2.2
TOP.60cc0da5.000831fb	folder_config->install_dir	.
TOP.60cc0da5.000831fb	folder_config->profile_dir	.
TOP.60cc0da5.000831fb	folder_config->session_dir	.
TOP.60cc0da5.000831fb	folder_config->shared_dir	.
TOP.60cc0da5.000831fb	user_options->separator	:
TOP.60cc0da5.000831fb	user_options->encoding_from	utf-8
TOP.60cc0da5.000831fb	user_options->encoding_to	utf-8
TOP.60cc0da5.000831fb	user_options->rp_files[0]	rules/best64.rule
TOP.60cc0da5.000831fb	user_options->rule_buf_l	:
TOP.60cc0da5.000831fb	user_options->rule_buf_r	:
TOP.60cc0da5.000831fb	user_options->session	hashcat
TOP.60cc0da5.000831fb	user_options->limit	0
TOP.60cc0da5.000831fb	user_options->skip	0
TOP.60cc0da5.000831fb	user_options->attack_mode	0
TOP.60cc0da5.000831fb	user_options->benchmark	0
TOP.60cc0da5.000831fb	user_options->benchmark_all	0
TOP.60cc0da5.000831fb	user_options->bitmap_max	18
TOP.60cc0da5.000831fb	user_options->bitmap_min	16
TOP.60cc0da5.000831fb	user_options->debug_mode	0
TOP.60cc0da5.000831fb	user_options->hash_info	0
TOP.60cc0da5.000831fb	user_options->force	0
TOP.60cc0da5.000831fb	user_options->hwmon_disable	0
TOP.60cc0da5.000831fb	user_options->hwmon_temp_abort	90
TOP.60cc0da5.000831fb	user_options->hash_mode	1800
TOP.60cc0da5.000831fb	user_options->hex_charset	0
TOP.60cc0da5.000831fb	user_options->hex_salt	0
TOP.60cc0da5.000831fb	user_options->hex_wordlist	0
TOP.60cc0da5.000831fb	user_options->hook_threads	2
TOP.60cc0da5.000831fb	user_options->identify	0
TOP.60cc0da5.000831fb	user_options->increment	0
TOP.60cc0da5.000831fb	user_options->increment_max	256
TOP.60cc0da5.000831fb	user_options->increment_min	1
TOP.60cc0da5.000831fb	user_options->keep_guessing	0
TOP.60cc0da5.000831fb	user_options->kernel_accel	0
TOP.60cc0da5.000831fb	user_options->kernel_loops	0
TOP.60cc0da5.000831fb	user_options->kernel_threads	0
TOP.60cc0da5.000831fb	user_options->keyspace	0
TOP.60cc0da5.000831fb	user_options->left	0
TOP.60cc0da5.000831fb	user_options->logfile_disable	0
TOP.60cc0da5.000831fb	user_options->loopback	0
TOP.60cc0da5.000831fb	user_options->machine_readable	0
TOP.60cc0da5.000831fb	user_options->markov_classic	0
